Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA2 (UR)",
"Braidwood",437,401,228,351,557,672,656,417,127,30,0,3875,
"Karabar",1079,1129,1067,1086,1197,1149,870,483,166,22,0,8241,
"Queanbeyan",1275,830,1903,1923,1434,1289,1006,617,435,125,3,10838,
"Queanbeyan - East",607,422,841,823,661,676,410,231,105,17,0,4785,
"Queanbeyan Region",2310,2410,1651,1955,2834,2735,2030,811,177,25,0,16945,
"Queanbeyan West - Jerrabomberra",1885,2049,1399,1621,2328,1899,910,388,134,21,0,12642,
"Bombala",287,243,198,236,277,375,405,220,115,34,0,2391,
"Cooma",709,752,731,739,850,984,853,619,378,103,0,6737,
"Cooma Region",343,422,198,257,493,556,530,357,105,18,0,3282,
"Jindabyne - Berridale",769,865,1001,866,1093,1044,772,362,155,19,0,6953,
"Batemans Bay",816,777,595,669,827,1022,1419,988,461,110,0,7689,
"Batemans Bay - South",759,857,555,647,916,1175,1594,1205,522,125,7,8361,
"Bega - Tathra",1020,1039,694,837,1010,1345,1176,791,409,82,0,8405,
"Bega-Eden Hinterland",881,1119,519,663,1119,1776,1762,688,231,29,0,8795,
"Broulee - Tomakin",305,365,219,263,363,500,555,413,239,65,0,3287,
"Deua - Wadbilliga",0,0,0,0,0,3,11,4,0,0,0,25,
"Eden",334,329,258,279,356,484,550,380,194,42,0,3218,
"Eurobodalla Hinterland",281,395,236,240,424,645,655,312,86,17,0,3298,
"Merimbula - Tura Beach",919,1040,737,844,1175,1588,1991,1443,715,162,0,10621,
"Moruya - Tuross Head",671,817,507,600,885,1363,1584,1035,441,53,0,7968,
"Narooma - Bermagui",735,747,503,594,838,1380,2120,1289,609,152,3,8979,
"Goulburn",2875,2642,2905,2828,2869,2984,2641,1895,1029,225,3,22890,
"Goulburn Region",1377,1604,968,1136,1679,2097,2038,1214,490,65,0,12673,
"Yass",900,807,672,736,872,837,761,500,331,79,8,6502,
"Yass Region",1525,1651,877,1141,2021,1796,1492,765,205,34,0,11508,
"Young",1522,1429,1069,1154,1236,1332,1307,938,504,106,3,10604,
"Young Region",831,836,620,611,907,1133,1227,785,318,60,3,7323,
"Avoca Beach - Copacabana",982,1136,649,767,1150,1106,861,476,147,28,0,7315,
"Box Head - MacMasters Beach",1205,1317,836,922,1445,1599,1725,1123,439,80,0,10688,
"Calga - Kulnura",447,610,438,427,722,828,666,401,143,23,0,4703,
"Erina - Green Point",1379,1710,1181,1147,1711,1856,1794,1577,1228,366,6,13950,
"Gosford - Springfield",2170,1881,2662,2577,2397,2564,2135,1367,818,228,0,18802,
"Kariong",921,1061,797,868,973,900,482,256,115,16,0,6381,
"Kincumber - Picketts Valley",815,841,690,682,864,889,833,853,686,159,0,7308,
"Narara",886,873,852,777,942,996,757,374,144,31,0,6642,
"Niagara Park - Lisarow",1067,1189,890,930,1162,1169,878,432,238,64,0,8027,
"Point Clare - Koolewong",750,705,566,673,898,920,705,630,296,55,3,6207,
"Saratoga - Davistown",927,840,689,790,887,937,869,642,347,55,0,6979,
"Terrigal - North Avoca",1567,1658,1556,1503,1814,1875,1782,1101,425,64,0,13345,
"Umina - Booker Bay - Patonga",2672,2360,2212,2555,2997,3106,3338,2605,1378,368,0,23588,
"Wamberal - Forresters Beach",1398,1335,917,1133,1432,1303,1149,704,330,66,0,9758,
"Woy Woy - Blackwall",1451,1381,1356,1497,1740,1924,1921,1511,895,239,3,13928,
"Wyoming",1418,1367,1262,1398,1323,1377,1308,1002,702,266,3,11434,
"Bateau Bay - Killarney Vale",2858,2603,2344,2696,2631,2805,2629,1804,1264,363,15,22010,
"Blue Haven - San Remo",1722,1742,1486,1330,1502,1269,1037,664,247,37,0,11044,
"Budgewoi - Buff Point - Halekulani",1098,1015,982,1005,1082,1298,1281,1078,490,78,0,9405,
"Chittaway Bay - Tumbi Umbi",2009,2045,1764,1760,2029,2154,1712,1086,637,147,0,15353,
"Gorokan - Kanwal - Charmhaven",2590,2744,2660,2319,2652,2807,2719,2032,1251,332,3,22114,
"Jilliby - Yarramalong",385,524,307,332,548,580,416,200,58,0,0,3352,
"Lake Munmorah - Mannering Park",1119,1158,1063,981,1147,1397,1546,1590,656,68,0,10730,
"Ourimbah - Fountaindale",609,677,644,541,682,750,548,286,103,13,0,4860,
"Summerland Point - Gwandalan",662,726,581,570,775,792,849,578,199,28,0,5765,
"The Entrance",1612,1495,1620,1679,1854,2037,2130,1539,825,146,4,14942,
"Toukley - Norah Head",1051,915,1027,977,1075,1275,1419,1111,725,175,5,9772,
"Tuggerah - Kangy Angy",742,752,664,663,737,625,532,395,162,32,0,5301,
"Warnervale - Wadalba",2477,2458,1542,2070,2260,1588,1292,1017,423,91,3,15219,
"Wyong",1102,1145,1141,988,1166,1201,1041,693,293,51,0,8815,
"Bathurst",2901,3100,4082,2870,2810,2827,2483,1628,928,197,9,23830,
"Bathurst - East",1777,1794,1266,1337,1495,1263,1137,667,375,79,3,11186,
"Bathurst Region",725,988,528,636,1057,1185,1043,573,150,24,0,6913,
"Oberon",555,547,536,435,565,602,740,469,181,39,3,4663,
"Condobolin",999,769,715,747,710,887,837,588,330,55,0,6637,
"Cowra",1094,1084,924,853,1038,1196,1305,945,565,138,6,9144,
"Cowra Region",596,692,415,454,696,856,868,619,205,44,0,5449,
"Forbes",1337,1344,1061,1003,1143,1367,1311,982,511,94,8,10166,
"Grenfell",410,386,242,334,402,547,626,453,211,50,0,3650,
